RU;75;1212;TransparentCalls;0.86;976;10;23
US;57;595;E-Voice;0.88;400;14;38
GB;0;301;TransparentCalls;0.72;357;27;23
FR;99;255;TransparentCalls;0.69;707;3;16
BL;67;1870;E-Voice;0.84;350;57;12
AT;84;853;TransparentCalls;0.99;416;63;9
BG;22;1061;E-Voice;0.95;909;51;27
DK;15;1468;JustPhone;0.72;778;86;48
CA;55;32;JustPhone;0.79;364;49;57
ES;25;1849;E-Voice;0.61;204;11;25
CH;48;376;JustPhone;0.65;695;16;13
TR;74;1095;TransparentCalls;0.89;578;47;46
PE;78;783;JustPhone;0.68;50;53;58
NZ;90;754;JustPhone;0.75;512;18;59
MC;29;882;E-Voice;0.90;340;22;49
